round,date,day_of_week,team_1,team_2,goal_1,goal_2
1,29/03/2003,Sábado,Guarani,Vasco,4,2
1,29/03/2003,Sábado,Atlético PR,Grêmio,2,0
1,30/03/2003,Domingo,Flamengo,Coritiba,1,1
1,30/03/2003,Domingo,Goiás,Paysandu,2,2
1,30/03/2003,Domingo,Internacional,Ponte Preta,1,1
1,30/03/2003,Domingo,Criciúma,Fluminense,2,0
1,30/03/2003,Domingo,Juventude,São Paulo,2,2
1,30/03/2003,Domingo,Fortaleza,Bahia,0,0
1,30/03/2003,Domingo,Cruzeiro,São Caetano,2,2
1,30/03/2003,Domingo,Vitória,Figueirense,1,1
1,30/03/2003,Domingo,Santos,Paraná,2,2
1,30/03/2003,Domingo,Corinthians,Atlético MG,0,3
2,05/04/2003,Sábado,Fluminense,Fortaleza,1,1
2,05/04/2003,Sábado,Atlético MG,Santos,0,0
2,05/04/2003,Sábado,Coritiba,Internacional,0,1
2,05/04/2003,Sábado,Grêmio,Guarani,3,1
2,06/04/2003,Domingo,Bahia,Flamengo,1,2
2,06/04/2003,Domingo,Figueirense,Corinthians,3,3
2,06/04/2003,Domingo,Paysandu,Vitória,1,2
2,06/04/2003,Domingo,Ponte Preta,Juventude,1,0
2,06/04/2003,Domingo,Paraná,Atlético PR,3,0
2,06/04/2003,Domingo,São Caetano,Criciúma,3,2
2,06/04/2003,Domingo,São Paulo,Cruzeiro,2,4
2,06/04/2003,Domingo,Vasco,Goiás,6,4
3,12/04/2003,Sábado,Internacional,Bahia,2,0
3,12/04/2003,Sábado,Santos,Figueirense,2,0
3,12/04/2003,Sábado,Atlético PR,Atlético MG,1,2
3,12/04/2003,Sábado,Corinthians,Paysandu,6,1
3,13/04/2003,Domingo,Vitória,Vasco,2,1
3,13/04/2003,Domingo,Criciúma,São Paulo,1,1
3,13/04/2003,Domingo,Fortaleza,São Caetano,1,1
3,13/04/2003,Domingo,Juventude,Coritiba,2,1
3,13/04/2003,Domingo,Guarani,Paraná,2,0
3,13/04/2003,Domingo,Goiás,Grêmio,1,1
3,13/04/2003,Domingo,Cruzeiro,Ponte Preta,3,0
3,13/04/2003,Domingo,Flamengo,Fluminense,4,1
4,09/04/2003,Quarta-feira,Paysandu,Santos,2,1
4,16/04/2003,Quarta-feira,Bahia,Juventude,3,1
4,16/04/2003,Quarta-feira,Grêmio,Vitória,2,1
4,16/04/2003,Quarta-feira,Atlético MG,Guarani,3,2
4,16/04/2003,Quarta-feira,Figueirense,Atlético PR,1,1
4,16/04/2003,Quarta-feira,Ponte Preta,Criciúma,1,1
4,16/04/2003,Quarta-feira,São Caetano,Flamengo,1,1
4,16/04/2003,Quarta-feira,Vasco,Corinthians,2,2
4,16/04/2003,Quarta-feira,Coritiba,Cruzeiro,3,4
4,17/04/2003,Quinta-feira,Fluminense,Internacional,3,1
4,17/04/2003,Quinta-feira,São Paulo,Fortaleza,3,1
4,17/04/2003,Quinta-feira,Paraná,Goiás,3,1
5,19/04/2003,Sábado,Bahia,Atlético MG,2,4
5,19/04/2003,Sábado,São Caetano,Grêmio,1,1
5,19/04/2003,Sábado,Flamengo,Santos,0,2
5,20/04/2003,Domingo,São Paulo,Vasco,3,1
5,20/04/2003,Domingo,Internacional,Corinthians,2,1
5,20/04/2003,Domingo,Criciúma,Guarani,1,0
5,20/04/2003,Domingo,Juventude,Vitória,1,1
5,20/04/2003,Domingo,Fortaleza,Atlético PR,1,0
5,20/04/2003,Domingo,Ponte Preta,Paysandu,4,4
5,20/04/2003,Domingo,Cruzeiro,Goiás,4,1
5,20/04/2003,Domingo,Fluminense,Paraná,0,0
5,21/04/2003,Segunda-feira,Coritiba,Figueirense,1,0
6,26/04/2003,Sábado,Atlético MG,Coritiba,1,2
6,26/04/2003,Sábado,Paraná,Bahia,3,1
6,26/04/2003,Sábado,Vitória,Internacional,0,3
6,26/04/2003,Sábado,Guarani,Cruzeiro,1,1
6,27/04/2003,Domingo,Corinthians,Flamengo,1,1
6,27/04/2003,Domingo,Goiás,Juventude,7,0
6,27/04/2003,Domingo,Figueirense,Ponte Preta,0,0
6,27/04/2003,Domingo,Santos,Fortaleza,4,0
6,27/04/2003,Domingo,Grêmio,Fluminense,0,1
6,27/04/2003,Domingo,Atlético PR,Criciúma,4,2
6,27/04/2003,Domingo,Paysandu,São Paulo,5,2
6,27/04/2003,Domingo,Vasco,São Caetano,1,0
7,03/05/2003,Sábado,Flamengo,Vitória,2,1
7,03/05/2003,Sábado,Bahia,Grêmio,2,1
7,03/05/2003,Sábado,Cruzeiro,Atlético PR,5,2
7,04/05/2003,Domingo,Fortaleza,Corinthians,1,2
7,04/05/2003,Domingo,São Paulo,Figueirense,3,2
7,04/05/2003,Domingo,São Caetano,Paysandu,2,0
7,04/05/2003,Domingo,Internacional,Goiás,2,1
7,04/05/2003,Domingo,Ponte Preta,Atlético MG,2,1
7,04/05/2003,Domingo,Juventude,Guarani,1,1
7,04/05/2003,Domingo,Coritiba,Paraná,2,1
7,04/05/2003,Domingo,Criciúma,Santos,1,3
7,04/05/2003,Domingo,Fluminense,Vasco,0,0
8,10/05/2003,Sábado,Goiás,Flamengo,1,1
8,10/05/2003,Sábado,Santos,Cruzeiro,0,2
8,10/05/2003,Sábado,Paraná,Ponte Preta,3,2
8,10/05/2003,Sábado,Corinthians,Criciúma,3,0
8,11/05/2003,Domingo,Vasco,Bahia,1,1
8,11/05/2003,Domingo,Paysandu,Fluminense,2,2
8,11/05/2003,Domingo,Atlético MG,São Paulo,2,2
8,11/05/2003,Domingo,Vitória,Fortaleza,2,1
8,11/05/2003,Domingo,Guarani,Internacional,3,0
8,11/05/2003,Domingo,Atlético PR,Juventude,2,0
8,11/05/2003,Domingo,Figueirense,São Caetano,3,0
8,11/05/2003,Domingo,Grêmio,Coritiba,1,0
9,17/05/2003,Sábado,Fluminense,Figueirense,3,0
9,17/05/2003,Sábado,São Caetano,Atlético MG,2,0
9,17/05/2003,Sábado,Juventude,Santos,1,1
9,18/05/2003,Domingo,Bahia,Paysandu,2,0
9,18/05/2003,Domingo,Internacional,Atlético PR,1,1
9,18/05/2003,Domingo,Coritiba,Vasco,1,1
9,18/05/2003,Domingo,Cruzeiro,Corinthians,1,1
9,18/05/2003,Domingo,Fortaleza,Goiás,1,0
9,18/05/2003,Domingo,Ponte Preta,Grêmio,2,1
9,18/05/2003,Domingo,Criciúma,Vitória,1,1
9,18/05/2003,Domingo,Flamengo,Guarani,1,1
9,18/05/2003,Domingo,São Paulo,Paraná,2,0
10,24/05/2003,Sábado,Atlético MG,Fluminense,3,0
10,24/05/2003,Sábado,Paraná,São Caetano,1,1
10,24/05/2003,Sábado,Corinthians,Juventude,3,0
10,24/05/2003,Sábado,Vasco,Ponte Preta,1,0
10,25/05/2003,Domingo,Atlético PR,Flamengo,4,1
10,25/05/2003,Domingo,Paysandu,Coritiba,1,3
10,25/05/2003,Domingo,Goiás,Criciúma,0,2
10,25/05/2003,Domingo,Grêmio,São Paulo,1,2
10,25/05/2003,Domingo,Guarani,Fortaleza,2,1
10,25/05/2003,Domingo,Figueirense,Bahia,1,0
10,25/05/2003,Domingo,Vitória,Cruzeiro,2,1
10,25/05/2003,Domingo,Santos,Internacional,2,1
11,31/05/2003,Sábado,Fluminense,Atlético PR,2,1
11,31/05/2003,Sábado,Cruzeiro,Criciúma,2,0
11,31/05/2003,Sábado,Coritiba,Guarani,3,2
11,31/05/2003,Sábado,Ponte Preta,São Caetano,0,0
11,31/05/2003,Sábado,Internacional,Paysandu,2,1
11,01/06/2003,Domingo,Paraná,Flamengo,6,2
11,01/06/2003,Domingo,Bahia,Goiás,2,1
11,01/06/2003,Domingo,Fortaleza,Juventude,3,1
11,01/06/2003,Domingo,Figueirense,Grêmio,2,1
11,01/06/2003,Domingo,Santos,São Paulo,3,2
11,01/06/2003,Domingo,Corinthians,Vitória,4,0
11,01/06/2003,Domingo,Vasco,Atlético MG,2,2
12,07/06/2003,Sábado,Vitória,Fluminense,2,1
12,07/06/2003,Sábado,Guarani,Santos,1,2
12,07/06/2003,Sábado,Grêmio,Fortaleza,3,1
12,07/06/2003,Sábado,Atlético MG,Figueirense,1,1
12,08/06/2003,Domingo,Paysandu,Paraná,3,0
12,08/06/2003,Domingo,Juventude,Vasco,0,0
12,08/06/2003,Domingo,Atlético PR,Ponte Preta,4,2
12,08/06/2003,Domingo,Goiás,Coritiba,1,2
12,08/06/2003,Domingo,São Caetano,Corinthians,1,0
12,08/06/2003,Domingo,Criciúma,Internacional,1,0
12,08/06/2003,Domingo,São Paulo,Bahia,2,2
12,18/04/2003,Quarta-feira,Flamengo,Cruzeiro,3,0
13,14/06/2003,Sábado,Fluminense,Goiás,2,3
13,14/06/2003,Sábado,Ponte Preta,Guarani,0,2
13,14/06/2003,Sábado,Coritiba,Atlético PR,2,0
13,15/06/2003,Domingo,Corinthians,São Paulo,1,2
13,15/06/2003,Domingo,Fortaleza,Paysandu,1,2
13,15/06/2003,Domingo,Paraná,Juventude,1,2
13,15/06/2003,Domingo,Grêmio,Internacional,0,0
13,15/06/2003,Domingo,Santos,São Caetano,0,1
13,15/06/2003,Domingo,Criciúma,Figueirense,1,0
13,15/06/2003,Domingo,Bahia,Vitória,2,1
13,15/06/2003,Domingo,Vasco,Flamengo,1,2
13,15/06/2003,Domingo,Cruzeiro,Atlético MG,0,0
14,19/06/2003,Quinta-feira,Bahia,Coritiba,2,2
14,21/06/2003,Sábado,Vasco,Criciúma,2,0
14,21/06/2003,Sábado,Atlético MG,Grêmio,3,2
14,21/06/2003,Sábado,Internacional,Paraná,2,1
14,21/06/2003,Sábado,São Paulo,Goiás,1,0
14,22/06/2003,Domingo,Paysandu,Flamengo,2,2
14,22/06/2003,Domingo,Ponte Preta,Corinthians,3,3
14,22/06/2003,Domingo,São Caetano,Vitória,2,1
14,22/06/2003,Domingo,Figueirense,Fortaleza,2,2
14,22/06/2003,Domingo,Juventude,Cruzeiro,0,1
14,22/06/2003,Domingo,Fluminense,Guarani,5,2
14,30/07/2003,Quarta-feira,Atlético PR,Santos,0,2
15,28/06/2003,Sábado,Fortaleza,Vasco,0,1
15,28/06/2003,Sábado,Coritiba,São Caetano,2,0
15,28/06/2003,Sábado,Grêmio,Juventude,1,4
15,28/06/2003,Sábado,Santos,Bahia,4,0
15,28/06/2003,Sábado,Flamengo,Figueirense,0,2
15,29/06/2003,Domingo,Corinthians,Fluminense,1,0
15,29/06/2003,Domingo,Guarani,São Paulo,0,1
15,29/06/2003,Domingo,Criciúma,Paysandu,2,0
15,29/06/2003,Domingo,Vitória,Atlético PR,1,0
15,29/06/2003,Domingo,Cruzeiro,Internacional,3,2
15,29/06/2003,Domingo,Paraná,Atlético MG,1,1
15,30/07/2003,Quarta-feira,Goiás,Ponte Preta,0,0
16,05/07/2003,Sábado,Vasco,Paraná,1,4
16,05/07/2003,Sábado,São Paulo,São Caetano,1,1
16,05/07/2003,Sábado,Figueirense,Cruzeiro,1,0
16,05/07/2003,Sábado,Atlético MG,Paysandu,3,2
16,06/07/2003,Domingo,Grêmio,Flamengo,2,0
16,06/07/2003,Domingo,Guarani,Goiás,3,2
16,06/07/2003,Domingo,Atlético PR,Corinthians,3,1
16,06/07/2003,Domingo,Juventude,Internacional,1,1
16,06/07/2003,Domingo,Fortaleza,Criciúma,0,1
16,06/07/2003,Domingo,Vitória,Ponte Preta,1,4
16,06/07/2003,Domingo,Santos,Coritiba,3,1
16,06/07/2003,Domingo,Fluminense,Bahia,1,0
17,09/07/2003,Quarta-feira,São Caetano,Atlético PR,0,0
17,09/07/2003,Quarta-feira,Corinthians,Santos,1,1
17,09/07/2003,Quarta-feira,Cruzeiro,Fortaleza,2,0
17,09/07/2003,Quarta-feira,Bahia,Guarani,2,0
17,09/07/2003,Quarta-feira,Paysandu,Figueirense,1,0
17,09/07/2003,Quarta-feira,Goiás,Vitória,1,1
17,09/07/2003,Quarta-feira,Flamengo,Juventude,2,1
17,09/07/2003,Quarta-feira,Internacional,Vasco,2,1
17,09/07/2003,Quarta-feira,Coritiba,São Paulo,0,2
17,10/07/2003,Quinta-feira,Ponte Preta,Fluminense,3,0
17,10/07/2003,Quinta-feira,Criciúma,Atlético MG,1,0
17,10/07/2003,Quinta-feira,Paraná,Grêmio,3,1
18,12/07/2003,Sábado,Atlético PR,Goiás,0,0
18,12/07/2003,Sábado,Fortaleza,Internacional,3,0
18,12/07/2003,Sábado,Vasco,Paysandu,0,2
18,13/07/2003,Domingo,Atlético MG,Flamengo,1,0
18,13/07/2003,Domingo,Ponte Preta,Bahia,1,0
18,13/07/2003,Domingo,Corinthians,Coritiba,0,1
18,13/07/2003,Domingo,Criciúma,Juventude,3,0
18,13/07/2003,Domingo,Figueirense,Paraná,4,2
18,13/07/2003,Domingo,São Caetano,Guarani,0,2
18,13/07/2003,Domingo,Fluminense,São Paulo,1,3
18,13/07/2003,Domingo,Grêmio,Cruzeiro,0,1
18,13/07/2003,Domingo,Vitória,Santos,2,0
19,16/07/2003,Quarta-feira,Flamengo,Fortaleza,0,2
19,16/07/2003,Quarta-feira,Juventude,Figueirense,1,2
19,16/07/2003,Quarta-feira,Bahia,São Caetano,0,0
19,16/07/2003,Quarta-feira,Coritiba,Fluminense,3,0
19,16/07/2003,Quarta-feira,Guarani,Vitória,2,2
19,16/07/2003,Quarta-feira,Internacional,Atlético MG,3,3
19,16/07/2003,Quarta-feira,Santos,Ponte Preta,2,1
19,16/07/2003,Quarta-feira,Cruzeiro,Vasco,4,1
19,16/07/2003,Quarta-feira,Goiás,Corinthians,1,1
19,17/07/2003,Quinta-feira,Paysandu,Grêmio,1,1
19,17/07/2003,Quinta-feira,São Paulo,Atlético PR,2,0
19,31/07/2003,Quinta-feira,Paraná,Criciúma,2,1
20,19/07/2003,Sábado,Fluminense,Santos,1,4
20,19/07/2003,Sábado,Corinthians,Guarani,1,0
20,19/07/2003,Sábado,Fortaleza,Atlético MG,4,3
20,19/07/2003,Sábado,Internacional,Figueirense,3,0
20,20/07/2003,Domingo,Juventude,Paysandu,2,0
20,20/07/2003,Domingo,Atlético PR,Bahia,2,1
20,20/07/2003,Domingo,Ponte Preta,Coritiba,1,1
20,20/07/2003,Domingo,Criciúma,Fla,4,3
20,20/07/2003,Domingo,Goiás,São Caetano,2,1
20,20/07/2003,Domingo,Vitória,São Paulo,0,2
20,20/07/2003,Domingo,Cruzeiro,Paraná,5,1
20,20/07/2003,Domingo,Vasco,Grêmio,2,0
21,23/07/2003,Quarta-feira,Paraná,Fortaleza,4,1
21,23/07/2003,Quarta-feira,Atlético MG,Juventude,2,1
21,23/07/2003,Quarta-feira,Paysandu,Cruzeiro,3,0
21,23/07/2003,Quarta-feira,Guarani,Atlético PR,1,0
21,23/07/2003,Quarta-feira,Figueirense,Vasco,0,0
21,23/07/2003,Quarta-feira,Santos,Goiás,3,3
21,23/07/2003,Quarta-feira,Bahia,Corinthians,0,0
21,24/07/2003,Quinta-feira,Coritiba,Vitória,1,1
21,24/07/2003,Quinta-feira,Grêmio,Criciúma,0,2
21,24/07/2003,Quinta-feira,Flamengo,Internacional,2,1
21,24/07/2003,Quinta-feira,São Caetano,Fluminense,2,0
21,24/07/2003,Quinta-feira,São Paulo,Ponte Preta,1,2
22,26/07/2003,Sábado,Santos,Vasco,2,1
22,26/07/2003,Sábado,Goiás,Atlético MG,1,1
22,26/07/2003,Sábado,Atlético PR,Paysandu,1,1
22,27/07/2003,Domingo,Fortaleza,Ponte Preta,2,3
22,27/07/2003,Domingo,Juventude,Fluminense,2,1
22,27/07/2003,Domingo,Flamengo,São Paulo,1,1
22,27/07/2003,Domingo,Criciúma,Coritiba,2,3
22,27/07/2003,Domingo,Guarani,Figueirense,3,0
22,27/07/2003,Domingo,Vitória,Paraná,0,3
22,27/07/2003,Domingo,Corinthians,Grêmio,1,0
22,27/07/2003,Domingo,Cruzeiro,Bahia,5,2
22,27/07/2003,Domingo,Internacional,São Caetano,0,0
23,02/08/2003,Sábado,Fluminense,Cruzeiro,2,2
23,02/08/2003,Sábado,Grêmio,Santos,2,0
23,02/08/2003,Sábado,São Paulo,Internacional,0,2
23,02/08/2003,Sábado,São Caetano,Juventude,1,1
23,03/08/2003,Domingo,Figueirense,Goiás,0,1
23,03/08/2003,Domingo,Paraná,Corinthians,1,1
23,03/08/2003,Domingo,Paysandu,Guarani,6,1
23,03/08/2003,Domingo,Coritiba,Fortaleza,1,1
23,03/08/2003,Domingo,Bahia,Criciúma,2,2
23,03/08/2003,Domingo,Ponte Preta,Flamengo,1,1
23,03/08/2003,Domingo,Vasco,Atlético PR,2,1
23,03/08/2003,Domingo,Atlético MG,Vitória,1,0
24,06/08/2003,Quarta-feira,Vitória,Paysandu,1,1
24,06/08/2003,Quarta-feira,Atlético PR,Paraná,1,0
24,06/08/2003,Quarta-feira,Criciúma,São Caetano,0,1
24,06/08/2003,Quarta-feira,Fortaleza,Fluminense,3,1
24,06/08/2003,Quarta-feira,Juventude,Ponte Preta,0,0
24,06/08/2003,Quarta-feira,Santos,Atlético MG,3,3
24,06/08/2003,Quarta-feira,Goiás,Vasco,3,1
24,06/08/2003,Quarta-feira,Cruzeiro,São Paulo,1,1
24,07/08/2003,Quinta-feira,Flamengo,Bahia,6,0
24,07/08/2003,Quinta-feira,Corinthians,Figueirense,0,1
24,07/08/2003,Quinta-feira,Guarani,Grêmio,2,0
24,07/08/2003,Quinta-feira,Internacional,Coritiba,1,0
25,09/08/2003,Sábado,Fluminense,Criciúma,1,1
25,09/08/2003,Sábado,São Caetano,Cruzeiro,2,0
25,09/08/2003,Sábado,Paraná,Santos,1,2
25,09/08/2003,Sábado,São Paulo,Juventude,3,1
25,10/08/2003,Domingo,Paysandu,Goiás,2,2
25,10/08/2003,Domingo,Ponte Preta,Internacional,1,4
25,10/08/2003,Domingo,Coritiba,Flamengo,5,0
25,10/08/2003,Domingo,Atlético MG,Corinthians,2,3
25,10/08/2003,Domingo,Figueirense,Vitória,1,2
25,10/08/2003,Domingo,Bahia,Fortaleza,1,0
25,10/08/2003,Domingo,Vasco,Guarani,0,0
25,10/08/2003,Domingo,Grêmio,Atlético PR,1,1
26,16/08/2003,Sábado,Vasco,Vitória,1,0
26,16/08/2003,Sábado,Bahia,Internacional,1,3
26,16/08/2003,Sábado,Figueirense,Santos,1,0
26,16/08/2003,Sábado,Coritiba,Juventude,1,0
26,16/08/2003,Sábado,Atlético MG,Atlético PR,1,2
26,16/08/2003,Sábado,São Paulo,Criciúma,0,0
26,17/08/2003,Domingo,Paysandu,Corinthians,2,2
26,17/08/2003,Domingo,São Caetano,Fortaleza,3,0
26,17/08/2003,Domingo,Ponte Preta,Cruzeiro,1,3
26,17/08/2003,Domingo,Paraná,Guarani,0,0
26,17/08/2003,Domingo,Grêmio,Goiás,0,1
26,17/08/2003,Domingo,Fluminense,Flamengo,0,1
27,20/08/2003,Quarta-feira,Flamengo,São Caetano,1,0
27,20/08/2003,Quarta-feira,Goiás,Paraná,1,0
27,20/08/2003,Quarta-feira,Juventude,Bahia,1,0
27,20/08/2003,Quarta-feira,Cruzeiro,Coritiba,2,2
27,20/08/2003,Quarta-feira,Atlético PR,Figueirense,1,2
27,20/08/2003,Quarta-feira,Vitória,Grêmio,4,1
27,20/08/2003,Quarta-feira,Santos,Paysandu,2,0
27,20/08/2003,Quarta-feira,Fortaleza,São Paulo,0,2
27,20/08/2003,Quarta-feira,Corinthians,Vasco,0,0
27,21/08/2003,Quinta-feira,Internacional,Fluminense,0,1
27,21/08/2003,Quinta-feira,Guarani,Atlético MG,2,2
27,21/08/2003,Quinta-feira,Criciúma,Ponte Preta,3,0
28,23/08/2003,Sábado,Santos,Flamengo,2,1
28,23/08/2003,Sábado,Atlético PR,Fortaleza,3,1
28,23/08/2003,Sábado,Goiás,Cruzeiro,1,0
28,23/08/2003,Sábado,Grêmio,São Caetano,0,0
28,24/08/2003,Domingo,Vasco,São Paulo,3,2
28,24/08/2003,Domingo,Paysandu,Ponte Preta,3,2
28,24/08/2003,Domingo,Paraná,Fluminense,2,0
28,24/08/2003,Domingo,Vitória,Juventude,3,0
28,24/08/2003,Domingo,Guarani,Criciúma,1,0
28,24/08/2003,Domingo,Figueirense,Coritiba,1,2
28,24/08/2003,Domingo,Corinthians,Internacional,3,1
28,24/08/2003,Domingo,Atlético MG,Bahia,1,0
29,30/08/2003,Sábado,Fluminense,Grêmio,2,0
29,30/08/2003,Sábado,Fortaleza,Santos,0,0
29,30/08/2003,Sábado,Internacional,Vitória,0,1
29,30/08/2003,Sábado,Cruzeiro,Guarani,4,1
29,30/08/2003,Sábado,São Paulo,Paysandu,1,0
29,31/08/2003,Domingo,São Caetano,Vasco,1,0
29,31/08/2003,Domingo,Juventude,Goiás,0,2
29,31/08/2003,Domingo,Flamengo,Corinthians,1,0
29,31/08/2003,Domingo,Bahia,Paraná,4,2
29,31/08/2003,Domingo,Ponte Preta,Figueirense,1,1
29,31/08/2003,Domingo,Criciúma,Atlético PR,2,0
29,31/08/2003,Domingo,Coritiba,Atlético MG,2,2
30,13/09/2003,Sábado,Santos,Criciúma,5,2
30,13/09/2003,Sábado,Atlético PR,Cruzeiro,1,4
30,13/09/2003,Sábado,Grêmio,Bahia,1,1
30,13/09/2003,Sábado,Corinthians,Fortaleza,2,0
30,14/09/2003,Domingo,Vitória,Flamengo,1,0
30,14/09/2003,Domingo,Figueirense,São Paulo,2,2
30,14/09/2003,Domingo,Goiás,Internacional,3,1
30,14/09/2003,Domingo,Paysandu,São Caetano,1,0
30,14/09/2003,Domingo,Guarani,Juventude,2,0
30,14/09/2003,Domingo,Paraná,Coritiba,2,3
30,14/09/2003,Domingo,Vasco,Fluminense,1,0
30,14/09/2003,Domingo,Atlético MG,Ponte Preta,2,0
31,20/09/2003,Sábado,Cruzeiro,Santos,3,0
31,20/09/2003,Sábado,Coritiba,Grêmio,1,0
31,20/09/2003,Sábado,Ponte Preta,Paraná,4,0
31,20/09/2003,Sábado,Fluminense,Paysandu,1,1
31,20/09/2003,Sábado,Internacional,Guarani,2,0
31,21/09/2003,Domingo,Bahia,Vasco,3,0
31,21/09/2003,Domingo,Criciúma,Corinthians,1,0
31,21/09/2003,Domingo,Fortaleza,Vitória,1,0
31,21/09/2003,Domingo,Juventude,Atlético PR,4,0
31,21/09/2003,Domingo,São Caetano,Figueirense,0,2
31,21/09/2003,Domingo,São Paulo,Atlético MG,2,2
31,21/09/2003,Domingo,Flamengo,Goiás,1,1
32,24/09/2003,Quarta-feira,Atlético PR,Internacional,2,1
32,24/09/2003,Quarta-feira,Grêmio,Ponte Preta,2,2
32,24/09/2003,Quarta-feira,Goiás,Fortaleza,0,1
32,24/09/2003,Quarta-feira,Paysandu,Bahia,4,0
32,24/09/2003,Quarta-feira,Vitória,Criciúma,1,1
32,24/09/2003,Quarta-feira,Guarani,Flamengo,5,3
32,24/09/2003,Quarta-feira,Paraná,São Paulo,4,2
32,24/09/2003,Quarta-feira,Santos,Juventude,1,1
32,24/09/2003,Quarta-feira,Corinthians,Cruzeiro,0,1
32,25/09/2003,Quinta-feira,Figueirense,Fluminense,2,2
32,25/09/2003,Quinta-feira,Vasco,Coritiba,2,1
32,25/09/2003,Quinta-feira,Atlético MG,São Caetano,3,1
33,27/09/2003,Sábado,Internacional,Santos,1,0
33,27/09/2003,Sábado,São Paulo,Grêmio,3,1
33,27/09/2003,Sábado,Flamengo,Atlético PR,2,1
33,28/09/2003,Domingo,Cruzeiro,Vitória,1,0
33,28/09/2003,Domingo,Bahia,Figueirense,1,1
33,28/09/2003,Domingo,Criciúma,Goiás,1,0
33,28/09/2003,Domingo,Fortaleza,Guarani,3,0
33,28/09/2003,Domingo,Juventude,Corinthians,6,1
33,28/09/2003,Domingo,Ponte Preta,Vasco,2,2
33,28/09/2003,Domingo,São Caetano,Paraná,2,0
33,28/09/2003,Domingo,Fluminense,Atlético MG,0,1
33,28/09/2003,Domingo,Coritiba,Paysandu,1,0
34,04/10/2003,Sábado,Atlético PR,Fluminense,0,0
34,04/10/2003,Sábado,Paysandu,Internacional,0,0
34,04/10/2003,Sábado,São Caetano,Ponte Preta,1,0
34,04/10/2003,Sábado,Grêmio,Figueirense,3,1
34,04/10/2003,Sábado,São Paulo,Santos,1,2
34,05/10/2003,Domingo,Vitória,Corinthians,1,2
34,05/10/2003,Domingo,Goiás,Bahia,3,1
34,05/10/2003,Domingo,Atlético MG,Vasco,2,1
34,05/10/2003,Domingo,Juventude,Fortaleza,2,2
34,05/10/2003,Domingo,Guarani,Coritiba,2,1
34,05/10/2003,Domingo,Flamengo,Paraná,0,3
34,05/10/2003,Domingo,Criciúma,Cruzeiro,1,3
35,08/10/2003,Quarta-feira,Vasco,Juventude,1,1
35,08/10/2003,Quarta-feira,Fortaleza,Grêmio,2,2
35,08/10/2003,Quarta-feira,Corinthians,São Caetano,0,3
35,08/10/2003,Quarta-feira,Coritiba,Goiás,1,0
35,08/10/2003,Quarta-feira,Ponte Preta,Atlético PR,2,2
35,08/10/2003,Quarta-feira,Santos,Guarani,1,1
35,08/10/2003,Quarta-feira,Bahia,São Paulo,3,0
35,08/10/2003,Quarta-feira,Cruzeiro,Flamengo,2,0
35,09/10/2003,Quinta-feira,Paraná,Paysandu,4,2
35,09/10/2003,Quinta-feira,Internacional,Criciúma,2,0
35,09/10/2003,Quinta-feira,Fluminense,Vitória,2,0
35,09/10/2003,Quinta-feira,Figueirense,Atlético MG,0,1
36,11/10/2003,Sábado,Atlético PR,Coritiba,2,0
36,11/10/2003,Sábado,Guarani,Ponte Preta,1,3
36,11/10/2003,Sábado,São Caetano,Santos,2,2
36,12/10/2003,Domingo,Atlético MG,Cruzeiro,0,1
36,12/10/2003,Domingo,Figueirense,Criciúma,4,2
36,12/10/2003,Domingo,São Paulo,Corinthians,3,0
36,12/10/2003,Domingo,Vitória,Bahia,2,1
36,12/10/2003,Domingo,Goiás,Fluminense,6,1
36,12/10/2003,Domingo,Juventude,Paraná,1,1
36,12/10/2003,Domingo,Flamengo,Vasco,2,1
36,12/10/2003,Domingo,Internacional,Grêmio,0,1
36,15/10/2003,Quarta-feira,Paysandu,Fortaleza,3,0
37,18/10/2003,Sábado,Goiás,São Paulo,3,1
37,18/10/2003,Sábado,Guarani,Fluminense,2,0
37,18/10/2003,Sábado,Flamengo,Paysandu,2,0
37,18/10/2003,Sábado,Grêmio,Atlético MG,2,2
37,18/10/2003,Sábado,Coritiba,Bahia,3,2
37,19/10/2003,Domingo,Paraná,Internacional,4,0
37,19/10/2003,Domingo,Santos,Atlético PR,3,2
37,19/10/2003,Domingo,Criciúma,Vasco,2,1
37,19/10/2003,Domingo,Fortaleza,Figueirense,1,1
37,19/10/2003,Domingo,Vitória,São Caetano,0,0
37,19/10/2003,Domingo,Corinthians,Ponte Preta,3,0
37,19/10/2003,Domingo,Cruzeiro,Juventude,1,2
38,22/10/2003,Quarta-feira,Ponte Preta,Goiás,0,2
38,22/10/2003,Quarta-feira,São Caetano,Coritiba,2,0
38,22/10/2003,Quarta-feira,Atlético PR,Vitória,1,2
38,22/10/2003,Quarta-feira,Figueirense,Flamengo,0,0
38,22/10/2003,Quarta-feira,Fluminense,Corinthians,1,0
38,22/10/2003,Quarta-feira,Internacional,Cruzeiro,1,0
38,22/10/2003,Quarta-feira,Bahia,Santos,4,7
38,23/10/2003,Quinta-feira,Paysandu,Criciúma,4,0
38,23/10/2003,Quinta-feira,São Paulo,Guarani,3,3
38,23/10/2003,Quinta-feira,Atlético MG,Paraná,2,2
38,23/10/2003,Quinta-feira,Juventude,Grêmio,1,2
38,23/10/2003,Quinta-feira,Vasco,Fortaleza,1,1
39,25/10/2003,Sábado,Coritiba,Santos,0,4
39,25/10/2003,Sábado,Bahia,Fluminense,2,2
